,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
123,Geraldton,AU,-28.7667,114.6,55.81,100,90,0.0,overcast clouds
124,Uyemskiy,RU,64.4743,40.8524,48.25,93,75,4.47,moderate rain
125,Pachino,IT,36.7186,15.0907,79.59,67,1,2.68,clear sky
126,Sao Filipe,CV,14.8961,-24.4956,76.41,85,100,4.83,overcast clouds
127,Coihueco,CL,-36.6167,-71.8333,47.14,100,100,0.0,overcast clouds
128,Nganjuk,ID,-7.6051,111.9035,76.48,79,78,5.08,light rain
129,Kavieng,PG,-2.5744,150.7967,82.47,77,99,7.96,light rain
130,Torbay,CA,47.6666,-52.7314,52.29,98,90,13.8,fog
131,Kavaratti,IN,10.5669,72.642,82.18,82,100,22.44,overcast clouds
132,Khairagarh,IN,26.95,77.8167,84.15,78,100,5.39,overcast clouds
133,Nyurba,RU,63.2842,118.3319,65.75,84,95,5.19,light rain
134,Lompoc,US,34.6391,-120.4579,86.56,71,1,13.8,clear sky
135,Kargat,RU,55.1956,80.2811,62.56,84,3,2.8,clear sky
136,Cockburn Town,TC,21.4612,-71.1419,81.37,84,63,18.05,broken clouds
137,Chimoio,MZ,-19.1164,33.4833,60.4,67,2,0.6,clear sky
138,Kushmurun,KZ,52.4503,64.6311,70.21,50,69,7.34,broken clouds
139,New Norfolk,AU,-42.7826,147.0587,52.72,77,95,1.99,light rain
140,Nelson Bay,AU,-32.7167,152.15,54.95,64,54,4.0,broken clouds
141,Le Port,RE,-20.9373,55.2919,69.8,71,52,11.1,broken clouds
142,Paveh,IR,35.0434,46.3565,75.29,29,0,3.85,clear sky
143,Nikolskoye,RU,59.7035,30.7861,56.01,80,10,5.99,clear sky
144,Saldanha,ZA,-33.0117,17.9442,44.65,63,80,15.61,broken clouds
145,Kaitangata,NZ,-46.2817,169.8464,44.2,89,89,7.27,overcast clouds
146,Malakal,SS,9.5334,31.6605,72.46,91,100,2.55,overcast clouds
147,Kurumkan,RU,54.3,110.3,64.56,76,100,0.72,overcast clouds
148,Leningradskiy,RU,69.3833,178.4167,38.66,75,100,5.23,overcast clouds
149,Thompson,CA,55.7435,-97.8558,73.56,53,90,3.44,smoke
150,Dwarka,IN,22.2394,68.9678,82.78,84,100,26.44,overcast clouds
151,Arvi,IN,20.9833,78.2333,76.91,92,100,8.84,overcast clouds
152,Oktyabrskoye,RU,43.0645,44.7417,64.54,82,2,2.24,clear sky
153,Springbok,ZA,-29.6643,17.8865,41.23,82,57,7.14,broken clouds
154,Amantea,IT,39.1332,16.0746,75.15,78,0,2.06,clear sky
155,Gat,IL,31.61,34.7642,77.92,76,2,4.7,clear sky
156,Paita,PE,-5.0892,-81.1144,70.36,85,6,16.75,clear sky
157,Luderitz,NA,-26.6481,15.1594,53.02,48,0,16.51,clear sky
158,Tual,ID,-5.6667,132.75,79.72,80,99,17.67,overcast clouds
159,Denpasar,ID,-8.65,115.2167,78.46,89,40,9.22,scattered clouds
160,Banda Aceh,ID,5.5577,95.3222,79.48,75,95,13.09,overcast clouds
161,Koshurnikovo,RU,54.1667,93.3,58.51,92,76,1.95,broken clouds
162,Carndonagh,IE,55.25,-7.2667,61.48,86,53,4.03,broken clouds
163,Tingi,TZ,-11.3,35.0333,58.5,84,23,2.98,few clouds
164,Tasiilaq,GL,65.6145,-37.6368,39.56,98,100,7.31,moderate rain
165,Wagar,SD,16.1525,36.2032,75.29,79,100,16.62,overcast clouds
166,Te Anau,NZ,-45.4167,167.7167,44.6,86,75,2.01,broken clouds
167,Iracoubo,GF,5.4802,-53.2011,78.94,86,16,9.42,few clouds
168,Lavrentiya,RU,65.5833,-171.0,42.78,71,100,11.23,overcast clouds
169,Upernavik,GL,72.7868,-56.1549,43.02,80,76,5.93,broken clouds
170,Abnub,EG,27.2696,31.1511,88.02,33,1,15.46,clear sky
171,Hrob,CZ,50.6592,13.7268,59.34,87,31,1.66,scattered clouds
172,Tutoia,BR,-2.7619,-42.2744,79.21,81,14,10.87,few clouds
173,Kruisfontein,ZA,-34.0033,24.7314,41.88,65,87,29.53,light rain
174,Tulum,MX,20.2167,-87.4667,85.93,80,13,7.54,few clouds
175,Saint-Pierre,RE,-21.3393,55.4781,69.48,71,0,9.22,light rain
176,Saint-Leu,RE,-21.15,55.2833,68.86,71,56,3.74,light rain
177,Nabire,ID,-3.3667,135.4833,75.0,93,100,2.93,overcast clouds
178,Margate,GB,51.3813,1.3862,67.3,84,0,8.99,clear sky
179,Taltal,CL,-25.4,-70.4833,59.36,69,35,5.68,scattered clouds
180,Pisco,PE,-13.7,-76.2167,62.65,82,75,11.5,broken clouds
181,Kandrian,PG,-6.2167,149.55,80.87,84,73,10.83,light rain
182,Ayni,TJ,39.3941,68.5377,66.52,60,4,3.6,clear sky
183,Mount Isa,AU,-20.7333,139.5,64.17,32,42,9.22,scattered clouds
184,Dudinka,RU,69.4058,86.1778,58.46,57,100,14.27,overcast clouds
185,Natal,BR,-5.795,-35.2094,77.22,83,75,5.75,broken clouds
186,Ascension,US,30.2169,-90.9001,88.0,70,75,3.44,broken clouds
187,Smithers,CA,54.7804,-127.1743,59.32,77,75,6.91,light rain
188,Karlstad,SE,59.3793,13.5036,55.96,94,30,3.44,scattered clouds
189,Katima Mulilo,NA,-17.5,24.2667,52.23,33,0,2.64,clear sky
190,Yellowknife,CA,62.456,-114.3525,72.32,60,75,1.99,smoke
191,Aklavik,CA,68.2191,-135.0107,88.52,42,40,6.91,scattered clouds
192,Rumford,US,44.5537,-70.5509,68.16,79,45,6.58,scattered clouds
193,Tekkali,IN,18.6167,84.2333,78.55,88,98,8.43,overcast clouds
194,Tabou,CI,4.423,-7.3528,75.9,82,21,5.08,few clouds
195,Valentin Gomez Farias,MX,28.2167,-106.5833,81.57,23,8,14.9,clear sky
196,Usinsk,RU,65.9939,57.5281,44.02,88,69,18.77,broken clouds
197,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.96,80,100,5.97,overcast clouds
198,Avarua,CK,-21.2078,-159.775,80.65,78,8,11.5,clear sky
199,Ilulissat,GL,69.2167,-51.1,39.51,84,57,2.48,broken clouds
200,Sandpoint,US,48.2766,-116.5533,82.02,36,1,1.01,clear sky
201,Cherskiy,RU,68.75,161.3,62.71,48,12,4.61,few clouds
202,Paso De Los Toros,UY,-32.8167,-56.5167,47.59,70,6,7.11,clear sky
203,Dingle,PH,10.9995,122.6711,81.07,79,100,13.71,overcast clouds
204,Champasak,LA,14.75,106.0,72.61,99,100,1.9,light rain
205,Haysville,US,37.5645,-97.3523,87.69,47,1,12.66,clear sky
206,Port Elizabeth,ZA,-33.918,25.5701,44.89,81,75,20.71,light intensity shower rain
207,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.22,97,54,2.24,broken clouds
208,Calvinia,ZA,-31.4707,19.776,34.32,81,81,9.91,broken clouds
209,Makakilo City,US,21.3469,-158.0858,79.12,72,90,6.91,light rain
210,Nador,MA,35.174,-2.9287,73.65,88,90,2.3,overcast clouds
211,Horsham,GB,51.064,-0.3272,71.08,75,0,3.44,clear sky
212,Ayan,RU,56.45,138.1667,63.7,85,93,3.62,overcast clouds
213,Meulaboh,ID,4.1363,96.1285,75.38,87,100,4.09,overcast clouds
214,Hambantota,LK,6.1241,81.1185,80.01,79,100,19.8,overcast clouds
215,Kloulklubed,PW,7.0419,134.2556,84.85,71,95,12.08,overcast clouds
216,Kashan,IR,33.9831,51.4364,90.5,14,63,7.54,broken clouds
217,Faanui,PF,-16.4833,-151.75,79.07,77,31,16.84,scattered clouds
218,Vygonichi,RU,53.0985,34.0673,57.31,100,11,8.95,few clouds
219,Komsomolskiy,UZ,40.4272,71.7189,72.82,56,1,2.3,clear sky
220,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,49,0,9.22,clear sky
221,Cherepovets,RU,59.1333,37.9,48.13,63,7,5.73,clear sky
222,Aksarka,RU,66.5606,67.7975,53.47,83,20,2.71,few clouds
223,Acarau,BR,-2.8856,-40.12,78.84,81,20,17.63,few clouds
224,Auchi,NG,7.0667,6.2667,71.19,97,100,4.83,overcast clouds
225,Riyadh,SA,24.6877,46.7219,100.54,31,86,8.41,overcast clouds
226,Henderson,US,36.0397,-114.9819,102.74,26,1,8.05,clear sky
227,Tazovskiy,RU,67.4667,78.7,57.2,95,100,17.05,light rain
228,Clyde River,CA,70.4692,-68.5914,39.43,87,75,10.36,broken clouds
229,Onega,RU,63.9061,38.1404,51.17,64,98,5.75,overcast clouds
230,Upington,ZA,-28.4478,21.2561,34.18,64,0,0.0,clear sky
231,Sarny,UA,51.338,26.6019,55.85,84,25,6.76,scattered clouds
232,Padang,ID,-0.9492,100.3543,73.45,78,82,3.89,broken clouds
233,Cidreira,BR,-30.1811,-50.2056,53.8,65,0,0.45,clear sky
234,Severo-Kurilsk,RU,50.6789,156.125,52.88,91,46,2.8,scattered clouds
235,Myitkyina,MM,25.3833,97.4,76.06,99,96,0.54,light rain
236,Luganville,VU,-15.5333,167.1667,82.2,71,25,7.45,scattered clouds
237,Honiara,SB,-9.4333,159.95,85.75,67,33,3.91,scattered clouds
238,Kerchevskiy,RU,59.946,56.2884,58.48,71,100,2.21,overcast clouds
239,Dukat,RU,62.55,155.55,64.69,61,100,5.19,overcast clouds
240,Shetpe,KZ,44.1667,52.1167,82.67,38,16,6.04,few clouds
241,Sabang,ID,5.8933,95.3214,82.56,72,100,20.87,overcast clouds
242,Zaysan,KZ,47.4667,84.8667,73.6,35,100,3.53,overcast clouds
243,Alto Araguaia,BR,-17.3147,-53.2153,67.19,30,4,2.95,clear sky
244,Vilcun,CL,-38.65,-72.2333,45.34,94,100,2.04,overcast clouds
245,Westport,US,41.1415,-73.3579,77.27,82,21,1.99,few clouds
246,Aleksandrov Gay,RU,50.147,48.5704,77.95,44,24,9.78,few clouds
247,Petropavlovskoye,RU,52.0712,84.107,62.15,94,13,3.78,few clouds
248,Jalu,LY,29.0331,21.5482,79.61,59,0,17.05,clear sky
249,Khatanga,RU,71.9667,102.5,53.98,91,100,3.22,overcast clouds
250,Gamba,GA,-2.65,10.0,72.32,82,70,5.91,broken clouds
251,Salalah,OM,17.0151,54.0924,76.86,94,75,8.86,broken clouds
252,Nicoya,CR,10.1483,-85.452,87.35,86,89,4.68,overcast clouds
253,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.44,84,46,10.45,scattered clouds
254,Norfolk,US,42.1668,-71.2495,76.87,78,93,1.01,overcast clouds
255,Mangrol,IN,21.1167,70.1167,82.2,85,99,22.75,overcast clouds
256,Pedro Ii,BR,-4.4247,-41.4586,75.34,38,10,6.31,clear sky
257,Thinadhoo,MV,0.5333,72.9333,81.3,76,100,7.74,overcast clouds
258,Foz,ES,43.5692,-7.2544,67.08,93,88,1.01,overcast clouds
259,Manoel Urbano,BR,-8.8389,-69.2597,73.72,53,0,0.69,clear sky
260,Kerrville,US,30.0474,-99.1403,84.61,65,1,5.75,clear sky
261,Coquimbo,CL,-29.9533,-71.3436,49.73,87,20,5.75,few clouds
262,Gyorujbarat,HU,47.6064,17.6488,64.96,82,0,6.91,clear sky
263,Port Macquarie,AU,-31.4333,152.9167,57.88,51,4,5.99,clear sky
264,Ngunguru,NZ,-35.6167,174.5,64.17,70,85,11.03,overcast clouds
265,Cap Malheureux,MU,-19.9842,57.6142,68.49,77,67,5.99,light rain
266,Teguise,ES,29.0605,-13.564,66.42,78,20,14.97,few clouds
267,Obuasi,GH,6.206,-1.6619,68.97,95,49,2.19,scattered clouds
268,Chifeng,CN,42.2683,118.9636,77.81,62,100,6.38,overcast clouds
269,Kushima,JP,31.4583,131.2333,81.91,87,100,12.62,overcast clouds
270,Richards Bay,ZA,-28.783,32.0377,58.96,84,69,2.64,broken clouds
271,Neuquen,AR,-38.9516,-68.0591,49.89,76,100,0.0,smoke
272,Itaituba,BR,-4.2761,-55.9836,80.76,78,20,0.0,few clouds
273,Hofn,IS,64.2539,-15.2082,59.49,66,4,4.47,clear sky
274,Grafton,US,42.207,-71.6856,75.97,78,54,6.51,broken clouds
275,Sitka,US,57.0531,-135.33,57.09,77,75,4.61,broken clouds
276,Prainha,BR,-1.8,-53.48,76.1,84,54,2.66,broken clouds
277,Jiazi,CN,22.8779,116.067,81.25,75,42,2.68,light rain
278,Carutapera,BR,-1.195,-46.02,75.87,89,47,5.03,scattered clouds
279,Los Angeles,US,34.0522,-118.2437,108.28,47,1,3.0,clear sky
280,Bredasdorp,ZA,-34.5322,20.0403,43.92,81,93,6.91,overcast clouds
281,Changuinola,PA,9.4333,-82.5167,79.93,85,76,4.45,broken clouds
282,Paracuru,BR,-3.41,-39.0306,81.1,82,12,13.96,few clouds
283,Baoding,CN,38.8511,115.4903,73.71,91,100,1.99,moderate rain
284,Paamiut,GL,61.994,-49.6678,42.17,86,38,10.76,scattered clouds
285,Katherine,AU,-14.4667,132.2667,68.32,34,51,3.44,broken clouds
286,Palauig,PH,15.435,119.9045,80.91,88,100,12.64,moderate rain
287,Hovd,MN,48.0056,91.6419,72.28,33,59,2.04,broken clouds
288,Virginia Beach,US,36.8529,-75.978,87.82,70,9,1.52,clear sky
289,Gijon,ES,43.5357,-5.6615,66.99,87,35,1.99,scattered clouds
290,Grand Gaube,MU,-20.0064,57.6608,68.4,77,67,5.99,light rain
291,Yar-Sale,RU,66.8333,70.8333,55.15,87,85,9.06,overcast clouds
292,Tiksi,RU,71.6872,128.8694,40.48,92,100,5.59,overcast clouds
293,Narsaq,GL,60.9167,-46.05,45.34,96,100,2.04,overcast clouds
294,Krasnoarmeysk,RU,51.0239,45.6969,68.29,85,71,8.01,broken clouds
295,Hay River,CA,60.8156,-115.7999,76.98,50,75,8.05,smoke
296,Caravelas,BR,-17.7125,-39.2481,68.76,73,4,5.3,clear sky
297,Mount Gambier,AU,-37.8333,140.7667,44.51,81,100,10.36,overcast clouds
298,Plouzane,FR,48.3833,-4.6167,71.92,68,0,8.05,clear sky
299,Sete,FR,43.4018,3.6966,73.89,71,5,5.97,clear sky
300,Guigue,VE,10.0853,-67.7792,75.47,83,82,0.65,broken clouds
301,Yulara,AU,-25.2406,130.9889,64.24,32,0,12.66,clear sky
302,Byron Bay,AU,-28.65,153.6167,65.05,56,7,10.51,clear sky
303,Goderich,CA,43.7501,-81.7165,67.91,63,0,10.36,clear sky
304,Portland,US,45.5234,-122.6762,79.2,42,75,1.01,broken clouds
305,Mindelheim,DE,48.05,10.4833,62.78,87,40,2.3,scattered clouds
306,Ruza,RU,55.699,36.1952,57.34,94,7,8.77,clear sky
307,Araouane,ML,18.9048,-3.5265,97.57,29,89,14.56,overcast clouds
308,Lata,PT,40.1629,-8.3327,61.92,93,34,3.91,scattered clouds
309,Indramayu,ID,-6.3264,108.32,77.94,83,84,5.1,broken clouds
310,Doha,QA,25.2867,51.5333,96.78,53,0,12.66,clear sky
311,Alamogordo,US,32.8995,-105.9603,88.95,38,40,3.0,scattered clouds
312,Hervey Bay,AU,-25.2986,152.8535,60.04,64,9,5.01,clear sky
313,Fairbanks,US,64.8378,-147.7164,77.02,43,75,4.61,broken clouds
314,Ortakoy,TR,38.7373,34.0387,70.05,62,3,6.85,clear sky
315,Nanortalik,GL,60.1432,-45.2371,43.84,99,100,8.08,overcast clouds
316,Sambava,MG,-14.2667,50.1667,70.54,83,43,13.65,light rain
317,Talnakh,RU,69.4865,88.3972,57.92,60,100,7.63,overcast clouds
318,Constitucion,CL,-35.3333,-72.4167,53.15,88,100,2.93,overcast clouds
319,Miranda,CO,3.2499,-76.2281,80.73,69,96,5.95,overcast clouds
320,Eyl,SO,7.9803,49.8164,79.79,68,65,22.82,broken clouds
321,Tonj,SS,7.2737,28.6822,70.27,90,91,2.33,light rain
322,Accra,GH,5.556,-0.1969,76.12,81,35,7.87,scattered clouds
323,Visaginas,LT,55.6,26.4167,48.85,90,0,5.66,clear sky
324,Porto Recanati,IT,43.4365,13.6613,76.3,40,35,1.07,scattered clouds
325,Salinopolis,BR,-0.6136,-47.3561,78.39,87,35,11.45,scattered clouds
326,Malinovoye Ozero,RU,51.6753,79.7825,63.36,70,0,5.66,clear sky
327,Awbari,LY,26.5921,12.7805,83.34,23,0,7.76,clear sky
328,Sur,OM,22.5667,59.5289,92.75,53,27,8.01,scattered clouds
329,Oeiras Do Para,BR,-2.0031,-49.8544,75.52,91,60,4.14,broken clouds
330,Coolum Beach,AU,-26.5333,153.1,63.34,53,31,4.09,scattered clouds
331,Zhigansk,RU,66.7697,123.3711,63.34,53,73,4.61,broken clouds
332,Fuerte Olimpo,PY,-21.0415,-57.8738,67.19,25,28,1.9,scattered clouds
333,Karwar,IN,14.8,74.1333,76.44,88,100,14.99,light rain
334,Bengkulu,ID,-3.8004,102.2655,74.46,85,51,5.17,broken clouds
335,Garbou,RO,47.15,23.4333,62.02,92,56,2.71,broken clouds
336,Atambua,ID,-9.1061,124.8925,75.54,66,54,4.0,broken clouds
337,Kupang,ID,-10.1667,123.5833,75.78,83,20,4.61,few clouds
338,Dingli,MT,35.8614,14.3822,73.81,88,0,2.3,clear sky
339,Klaksvik,FO,62.2266,-6.589,52.72,91,0,11.92,clear sky
340,Marienburg,PL,54.0359,19.0266,63.95,91,18,3.69,few clouds
341,Berlevag,NO,70.8578,29.0864,44.22,85,100,20.45,light rain
342,Kropotkin,RU,45.4375,40.5756,72.61,93,6,10.29,clear sky
343,Karratha,AU,-20.7377,116.8463,72.19,58,8,9.78,clear sky
344,Sola,VU,-13.8833,167.55,81.27,94,75,0.0,broken clouds
345,Ahipara,NZ,-35.1667,173.1667,59.02,87,63,11.39,broken clouds
346,Atar,MR,20.5169,-13.0499,89.46,12,3,8.3,clear sky
347,Nemuro,JP,43.3236,145.575,68.43,94,100,8.21,overcast clouds
348,Marawi,PH,7.9986,124.2928,74.64,74,100,6.76,overcast clouds
349,Invermere,CA,50.5167,-116.0354,79.84,38,77,5.01,broken clouds
350,Nuuk,GL,64.1835,-51.7216,47.88,70,42,5.01,scattered clouds
