City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
139,New Norfolk,AU,52.72,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
140,Nelson Bay,AU,54.95,broken clouds,-32.7167,152.15,Mantra Nelson Bay
141,Le Port,RE,69.8,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
142,Paveh,IR,75.29,clear sky,35.0434,46.3565,اقامتگاه بوم‌گردی حسن ساعدی
143,Nikolskoye,RU,56.01,clear sky,59.7035,30.7861,Tourist House - Sablino
146,Malakal,SS,72.46,overcast clouds,9.5334,31.6605,Nile Palace Hotel
147,Kurumkan,RU,64.56,overcast clouds,54.3,110.3,Ilikchin
149,Thompson,CA,73.56,smoke,55.7435,-97.8558,Burntwood Hotel
150,Dwarka,IN,82.78,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
151,Arvi,IN,76.91,overcast clouds,20.9833,78.2333,Geet shirbhate
152,Oktyabrskoye,RU,64.54,clear sky,43.0645,44.7417,Prolesok Mini-hotel
154,Amantea,IT,75.15,clear sky,39.1332,16.0746,Mediterraneo Palace Hotel
155,Gat,IL,77.92,clear sky,31.61,34.7642,OlusHome
156,Paita,PE,70.36,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
158,Tual,ID,79.72,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
159,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
160,Banda Aceh,ID,79.48,overcast clouds,5.5577,95.3222,Sulthan Hotel International
161,Koshurnikovo,RU,58.51,broken clouds,54.1667,93.3,Outskirts Manor
162,Carndonagh,IE,61.48,broken clouds,55.25,-7.2667,Riversdale Country House
167,Iracoubo,GF,78.94,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
170,Abnub,EG,88.02,clear sky,27.2696,31.1511,Romany Adly Gad
171,Hrob,CZ,59.34,scattered clouds,50.6592,13.7268,chalupa u studánky
172,Tutoia,BR,79.21,few clouds,-2.7619,-42.2744,Pousada Guará's
174,Tulum,MX,85.93,few clouds,20.2167,-87.4667,Kin Ha Tulum
175,Saint-Pierre,RE,69.48,light rain,-21.3393,55.4781,Lindsey Hôtel
176,Saint-Leu,RE,68.86,light rain,-21.15,55.2833,La Caz Oceane
177,Nabire,ID,75.0,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
178,Margate,GB,67.3,clear sky,51.3813,1.3862,Premier Inn Margate hotel
179,Taltal,CL,59.36,scattered clouds,-25.4,-70.4833,Residencial Karime
180,Pisco,PE,62.65,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
181,Kandrian,PG,80.87,light rain,-6.2167,149.55,Kandrian Station
182,Ayni,TJ,66.52,clear sky,39.3941,68.5377,Меҳмонхона СУҒД
183,Mount Isa,AU,64.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
184,Dudinka,RU,58.46,overcast clouds,69.4058,86.1778,Hotel Viktoria
185,Natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
186,Ascension,US,88.0,broken clouds,30.2169,-90.9001,Highland Inn
187,Smithers,CA,59.32,light rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
188,Karlstad,SE,55.96,scattered clouds,59.3793,13.5036,Scandic Karlstad City
190,Yellowknife,CA,72.32,smoke,62.456,-114.3525,The Explorer Hotel
191,Aklavik,CA,88.52,scattered clouds,68.2191,-135.0107,Aklavik Inn
192,Rumford,US,68.16,scattered clouds,44.5537,-70.5509,coastal rentals llc
193,Tekkali,IN,78.55,overcast clouds,18.6167,84.2333,Trinath Gantayat
194,Tabou,CI,75.9,few clouds,4.423,-7.3528,hotêl doufoulougou
197,Sao Joao Da Barra,BR,67.96,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
198,Avarua,CK,80.65,clear sky,-21.2078,-159.775,Paradise Inn
200,Sandpoint,US,82.02,clear sky,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
